id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
36324000,215500.0,HOUSE,VILLA,Wallonia,Hainaut,Thuin,6150,50.3994188,4.2708275,,,0.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,560.0,G,MISSING,0,699.0
30545000,324500.0,APARTMENT,PENTHOUSE,Flanders,Antwerp,Mechelen,2560,51.1389892,4.6317813,2009.0,110.0,,3.0,2.0,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,AS_NEW,188.0,B,MISSING,1,
66991000,1375000.0,HOUSE,MANOR_HOUSE,Flanders,East Flanders,Oudenaarde,9700,50.8312983,3.676145,1887.0,421.0,2857.0,4.0,5.0,MISSING,0,0,1,,0,0.0,0,0,GOOD,914.0,E,GAS,1,
39986000,395000.0,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8670,51.1217635,2.6914997,1971.0,,567.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,397.0,D,MISSING,0,877.0
7171000,625000.0,HOUSE,VILLA,Flanders,Antwerp,Antwerp,2520,51.1604617,4.598705,2000.0,190.0,1177.0,4.0,4.0,HYPER_EQUIPPED,0,0,1,60.0,1,800.0,0,1,MISSING,324.0,D,FUELOIL,1,1108.0
64433000,1395000.0,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8300,,,1973.0,194.0,618.0,,3.0,MISSING,0,0,1,,1,,0,0,MISSING,172.0,B,MISSING,1,1130.0
58684000,249000.0,APARTMENT,FLAT_STUDIO,Flanders,West Flanders,Brugge,8301,51.3400904,3.2307294,,,,1.0,0.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,GAS,0,
13263000,495000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8620,51.137728,2.7403396,,93.0,,,2.0,MISSING,0,0,1,37.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
26216000,250000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0622131,3.7350336,2021.0,50.0,,4.0,1.0,INSTALLED,0,0,1,3.0,0,0.0,0,1,AS_NEW,40.0,A,GAS,0,731.0
35106000,515000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2018,51.19728,4.40524,,107.0,,,2.0,MISSING,0,0,1,7.0,0,0.0,0,0,JUST_RENOVATED,65.0,A,GAS,1,
4147000,239000.0,APARTMENT,DUPLEX,Flanders,East Flanders,Aalst,9300,50.9263351,4.0696449,1997.0,95.0,,2.0,2.0,INSTALLED,0,0,1,4.0,0,0.0,0,1,AS_NEW,144.0,B,GAS,1,
5655000,429000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8660958,4.3447036,,98.0,,4.0,2.0,HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,0,
26067000,491505.0,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7850,,,,176.0,653.0,,4.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,GAS,1,
65506000,410000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1200,50.8542684,4.4306636,2005.0,95.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,
76127000,265000.0,HOUSE,MIXED_USE_BUILDING,Flanders,Limburg,Hasselt,3560,50.985914,5.192056,1970.0,114.0,0.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,,E,GAS,0,1400.0
34255000,230000.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1480,50.6912508,4.2008037,2001.0,76.0,,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,AS_NEW,,MISSING,ELECTRIC,1,1050.0
33764000,425000.0,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8520,50.8639517,3.2948592,,191.0,420.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,,A,MISSING,1,
12595000,510000.0,APARTMENT,GROUND_FLOOR,Flanders,East Flanders,Gent,9040,51.0656794,3.755662,2024.0,142.0,,4.0,2.0,USA_HYPER_EQUIPPED,0,0,1,34.0,1,85.0,0,0,AS_NEW,,MISSING,MISSING,1,
34354000,225000.0,APARTMENT,GROUND_FLOOR,Wallonia,Liège,Liège,4030,50.6259729,5.6033706,,90.0,,2.0,2.0,MISSING,0,0,1,50.0,0,0.0,0,0,AS_NEW,,MISSING,GAS,1,
3135000,100000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6140,50.4108757,4.3145184,,,350.0,2.0,3.0,MISSING,0,0,0,0.0,1,235.0,0,0,TO_RENOVATE,614.0,G,MISSING,0,446.0
40050000,298000.0,APARTMENT,TRIPLEX,Brussels-Capital,Brussels,Brussels,1000,,,,,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,1291.0,G,MISSING,0,
17401000,735000.0,APARTMENT,DUPLEX,Flanders,West Flanders,Brugge,8300,,,2023.0,128.0,,3.0,3.0,MISSING,0,0,1,11.0,0,0.0,0,1,GOOD,,A++,MISSING,1,
48370000,235000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4400,50.6149194,5.4445321,2023.0,95.0,,3.0,2.0,MISSING,0,0,1,,0,0.0,0,0,AS_NEW,,MISSING,MISSING,1,
